Computation of population skweness started
Started writing results to file: sin_function_timing.csv
 population_value: 1767215, index i: 0, index j: 0, accumulated_mean: 3115  
 population_value: 37715, index i: 0, index j: 1, accumulated_mean: 3115  
 population_value: 15815, index i: 0, index j: 2, accumulated_mean: 3115  
 population_value: 11315, index i: 0, index j: 3, accumulated_mean: 3115  
 population_value: 15115, index i: 0, index j: 4, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 5, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 6, accumulated_mean: 3115  
 population_value: 11315, index i: 0, index j: 7, accumulated_mean: 3115  
 population_value: 11415, index i: 0, index j: 8, accumulated_mean: 3115  
 population_value: 16015, index i: 0, index j: 9, accumulated_mean: 3115  
 population_value: 14815, index i: 0, index j: 10, accumulated_mean: 3115  
 population_value: 15015, index i: 0, index j: 11, accumulated_mean: 3115  
 population_value: 11515, index i: 0, index j: 12, accumulated_mean: 3115  
 population_value: 15015, index i: 0, index j: 13, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 14, accumulated_mean: 3115  
 population_value: 15115, index i: 0, index j: 15, accumulated_mean: 3115  
 population_value: 11515, index i: 0, index j: 16, accumulated_mean: 3115  
 population_value: 13315, index i: 0, index j: 17, accumulated_mean: 3115  
 population_value: 11415, index i: 0, index j: 18, accumulated_mean: 3115  
 population_value: 11415, index i: 0, index j: 19, accumulated_mean: 3115  
 population_value: 14915, index i: 0, index j: 20, accumulated_mean: 3115  
 population_value: 11415, index i: 0, index j: 21, accumulated_mean: 3115  
 population_value: 14915, index i: 0, index j: 22, accumulated_mean: 3115  
 population_value: 11415, index i: 0, index j: 23, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 24, accumulated_mean: 3115  
 population_value: 15915, index i: 0, index j: 25, accumulated_mean: 3115  
 population_value: 15015, index i: 0, index j: 26, accumulated_mean: 3115  
 population_value: 14715, index i: 0, index j: 27, accumulated_mean: 3115  
 population_value: 11415, index i: 0, index j: 28, accumulated_mean: 3115  
 population_value: 14515, index i: 0, index j: 29, accumulated_mean: 3115  
 population_value: 15115, index i: 0, index j: 30, accumulated_mean: 3115  
 population_value: 14715, index i: 0, index j: 31, accumulated_mean: 3115  
 population_value: 15115, index i: 0, index j: 32, accumulated_mean: 3115  
 population_value: 16015, index i: 0, index j: 33, accumulated_mean: 3115  
 population_value: 11515, index i: 0, index j: 34, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 35, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 36, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 37, accumulated_mean: 3115  
 population_value: 14515, index i: 0, index j: 38, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 39, accumulated_mean: 3115  
 population_value: 11015, index i: 0, index j: 40, accumulated_mean: 3115  
 population_value: 15215, index i: 0, index j: 41, accumulated_mean: 3115  
 population_value: 14715, index i: 0, index j: 42, accumulated_mean: 3115  
 population_value: 11515, index i: 0, index j: 43, accumulated_mean: 3115  
 population_value: 14515, index i: 0, index j: 44, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 45, accumulated_mean: 3115  
 population_value: 11015, index i: 0, index j: 46, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 47, accumulated_mean: 3115  
 population_value: 14615, index i: 0, index j: 48, accumulated_mean: 3115  
