Computation of population skweness started
Started writing results to file: sin_function_timing1.csv
average: 154.384106522498060
 population_value: 9868.303633878122100, index i: 0, index j: 0, accumulated_mean: 31.149622790653503  
 population_value: 170.758602326368900, index i: 0, index j: 1, accumulated_mean: 31.149490173087838  
 population_value: 150.499107135104790, index i: 0, index j: 2, accumulated_mean: 31.149482697427377  
 population_value: 152.428582867606140, index i: 0, index j: 3, accumulated_mean: 31.149480803618278  
 population_value: 151.463845001355480, index i: 0, index j: 4, accumulated_mean: 31.149476580023716  
 population_value: 123.486446880085990, index i: 0, index j: 5, accumulated_mean: 31.149002864870660  
 population_value: 156.287534332608830, index i: 0, index j: 6, accumulated_mean: 31.149001071142141  
 population_value: 151.463845001355480, index i: 0, index j: 7, accumulated_mean: 31.148996847655884  
 population_value: 132.169087676342030, index i: 0, index j: 8, accumulated_mean: 31.148752114573199  
 population_value: 152.428582867606140, index i: 0, index j: 9, accumulated_mean: 31.148750220838071  
 population_value: 157.252272198859490, index i: 0, index j: 10, accumulated_mean: 31.148746148369824  
 population_value: 152.428582867606140, index i: 0, index j: 11, accumulated_mean: 31.148744254635300  
 population_value: 745.742370611769270, index i: 0, index j: 12, accumulated_mean: 30.983376309154149  
 population_value: 153.393320733856830, index i: 0, index j: 13, accumulated_mean: 30.983375827422154  
 population_value: 120.592233281333980, index i: 0, index j: 14, accumulated_mean: 30.982814205771803  
 population_value: 120.592233281333980, index i: 0, index j: 15, accumulated_mean: 30.982252601056810  
 population_value: 163.040699396363520, index i: 0, index j: 16, accumulated_mean: 30.982215853822826  
 population_value: 152.428582867606140, index i: 0, index j: 17, accumulated_mean: 30.982213977213569  
 population_value: 153.393320733856830, index i: 0, index j: 18, accumulated_mean: 30.982213495511662  
 population_value: 119.627495415083300, index i: 0, index j: 19, accumulated_mean: 30.981619346389966  
 population_value: 151.463845001355480, index i: 0, index j: 20, accumulated_mean: 30.981615161287447  
 population_value: 152.428582867606140, index i: 0, index j: 21, accumulated_mean: 30.981613284738774  
 population_value: 157.252272198859490, index i: 0, index j: 22, accumulated_mean: 30.981609249234609  
 population_value: 157.252272198859490, index i: 0, index j: 23, accumulated_mean: 30.981605213731321  
 population_value: 168.829126593867560, index i: 0, index j: 24, accumulated_mean: 30.981502936771317  
 population_value: 150.499107135104790, index i: 0, index j: 25, accumulated_mean: 30.981495529289226  
 population_value: 119.627495415083300, index i: 0, index j: 26, accumulated_mean: 30.980901403075936  
 population_value: 151.463845001355480, index i: 0, index j: 27, accumulated_mean: 30.980897218134920  
 population_value: 151.463845001355480, index i: 0, index j: 28, accumulated_mean: 30.980893033194842  
 population_value: 118.662757548832630, index i: 0, index j: 29, accumulated_mean: 30.980265446229819  
 population_value: 151.463845001355480, index i: 0, index j: 30, accumulated_mean: 30.980261261431828  
 population_value: 151.463845001355480, index i: 0, index j: 31, accumulated_mean: 30.980257076634775  
 population_value: 160.146485797611520, index i: 0, index j: 32, accumulated_mean: 30.980240792128008  
 population_value: 151.463845001355480, index i: 0, index j: 33, accumulated_mean: 30.980236607335566  
 population_value: 151.463845001355480, index i: 0, index j: 34, accumulated_mean: 30.980232422544066  
 population_value: 150.499107135104790, index i: 0, index j: 35, accumulated_mean: 30.980225015567736  
 population_value: 155.322796466358140, index i: 0, index j: 36, accumulated_mean: 30.980224583293833  
 population_value: 150.499107135104790, index i: 0, index j: 37, accumulated_mean: 30.980217176320622  
 population_value: 152.428582867606140, index i: 0, index j: 38, accumulated_mean: 30.980215299912945  
 population_value: 151.463845001355480, index i: 0, index j: 39, accumulated_mean: 30.980211115126245  
 population_value: 159.181747931360830, index i: 0, index j: 40, accumulated_mean: 30.980199826155431  
 population_value: 151.463845001355480, index i: 0, index j: 41, accumulated_mean: 30.980195641372212  
 population_value: 119.627495415083300, index i: 0, index j: 42, accumulated_mean: 30.979601556626676  
 population_value: 118.662757548832630, index i: 0, index j: 43, accumulated_mean: 30.978974013180842  
 population_value: 151.463845001355480, index i: 0, index j: 44, accumulated_mean: 30.978969828673300  
 population_value: 151.463845001355480, index i: 0, index j: 45, accumulated_mean: 30.978965644166699  
 population_value: 151.463845001355480, index i: 0, index j: 46, accumulated_mean: 30.978961459661040  
 population_value: 150.499107135104790, index i: 0, index j: 47, accumulated_mean: 30.978954053190627  
 population_value: 134.098563408843380, index i: 0, index j: 48, accumulated_mean: 30.978751895440901  
 population_value: 157.252272198859490, index i: 0, index j: 49, accumulated_mean: 30.978747860557423  
 population_value: 151.463845001355480, index i: 0, index j: 50, accumulated_mean: 30.978743676100763  
 population_value: 155.322796466358140, index i: 0, index j: 51, accumulated_mean: 30.978743243861281  
 population_value: 118.662757548832630, index i: 0, index j: 52, accumulated_mean: 30.978115729339429  
 population_value: 118.662757548832630, index i: 0, index j: 53, accumulated_mean: 30.977488235960866  
 population_value: 150.499107135104790, index i: 0, index j: 54, accumulated_mean: 30.977480830076875  
 population_value: 153.393320733856830, index i: 0, index j: 55, accumulated_mean: 30.977480348497497  
 population_value: 159.181747931360830, index i: 0, index j: 56, accumulated_mean: 30.977469061183772  
 population_value: 150.499107135104790, index i: 0, index j: 57, accumulated_mean: 30.977461655307419  
 population_value: 155.322796466358140, index i: 0, index j: 58, accumulated_mean: 30.977461223097723  
 population_value: 118.662757548832630, index i: 0, index j: 59, accumulated_mean: 30.976833751772492  
 population_value: 154.358058600107480, index i: 0, index j: 60, accumulated_mean: 30.976833751439671  
 population_value: 151.463845001355480, index i: 0, index j: 61, accumulated_mean: 30.976829567413468  
 population_value: 152.428582867606140, index i: 0, index j: 62, accumulated_mean: 30.976827691347413  
 population_value: 151.463845001355480, index i: 0, index j: 63, accumulated_mean: 30.976823507322571  
 population_value: 164.970175128864870, index i: 0, index j: 64, accumulated_mean: 30.976768576596125  
 population_value: 156.287534332608830, index i: 0, index j: 65, accumulated_mean: 30.976766799634959  
 population_value: 151.463845001355480, index i: 0, index j: 66, accumulated_mean: 30.976762615623826  
 population_value: 151.463845001355480, index i: 0, index j: 67, accumulated_mean: 30.976758431613639  
 population_value: 150.499107135104790, index i: 0, index j: 68, accumulated_mean: 30.976751026020168  
