Computation of population skweness started
Started writing results to file: sin_function_timing2.csv
average: 192.589478668744790
 population_value: 12091.956855511384000, index i: 0, index j: 0  
 population_value: 70.063286475490543, index i: 0, index j: 1  
 population_value: 129.254683670301520, index i: 0, index j: 2  
 population_value: 190.862056260819060, index i: 0, index j: 3  
 population_value: 150.998462231660620, index i: 0, index j: 4  
 population_value: 188.446080865112460, index i: 0, index j: 5  
 population_value: 198.109982447938760, index i: 0, index j: 6  
 population_value: 196.901994750085460, index i: 0, index j: 7  
 population_value: 149.790474533807360, index i: 0, index j: 8  
 population_value: 1005.045764613933200, index i: 0, index j: 9  
 population_value: 188.446080865112460, index i: 0, index j: 10  
 population_value: 142.542548346687650, index i: 0, index j: 11  
 population_value: 140.126572950981090, index i: 0, index j: 12  
 population_value: 142.542548346687650, index i: 0, index j: 13  
 population_value: 195.694007052232190, index i: 0, index j: 14  
 population_value: 195.694007052232190, index i: 0, index j: 15  
 population_value: 194.486019354378900, index i: 0, index j: 16  
 population_value: 187.238093167259190, index i: 0, index j: 17  
 population_value: 189.654068562965760, index i: 0, index j: 18  
 population_value: 189.654068562965760, index i: 0, index j: 19  
 population_value: 190.862056260819060, index i: 0, index j: 20  
 population_value: 188.446080865112460, index i: 0, index j: 21  
 population_value: 155.830413023073790, index i: 0, index j: 22  
 population_value: 195.694007052232190, index i: 0, index j: 23  
 population_value: 143.750536044540920, index i: 0, index j: 24  
 population_value: 141.334560648834350, index i: 0, index j: 25  
 population_value: 195.694007052232190, index i: 0, index j: 26  
 population_value: 193.278031656525630, index i: 0, index j: 27  
 population_value: 190.862056260819060, index i: 0, index j: 28  
 population_value: 149.790474533807360, index i: 0, index j: 29  
 population_value: 195.694007052232190, index i: 0, index j: 30  
 population_value: 188.446080865112460, index i: 0, index j: 31  
 population_value: 189.654068562965760, index i: 0, index j: 32  
 population_value: 193.278031656525630, index i: 0, index j: 33  
 population_value: 149.790474533807360, index i: 0, index j: 34  
 population_value: 187.238093167259190, index i: 0, index j: 35  
 population_value: 190.862056260819060, index i: 0, index j: 36  
 population_value: 189.654068562965760, index i: 0, index j: 37  
 population_value: 189.654068562965760, index i: 0, index j: 38  
 population_value: 193.278031656525630, index i: 0, index j: 39  
